"","month","iso_code","date","location","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","total_vaccinations","total_boosters","total_vaccinations_per_hundred","total_boosters_per_hundred","population","population_density","continent","cs","L1vax","vax","lndeaths","deaths","lnvax","period"
"65","2021-11","CAN",2021-11-27,"Canada",1792561,29681,47088.502,779.686,NA,NA,60340980,1111084,158.51,2.92,38067913,4.037,"North America",NA,154.11,158.51,6.66017302034089,779.686,5.07210661618436,2
"66","2021-02","CHE",2021-02-28,"Switzerland",554932,10016,63671.893,1149.218,4690272,538.153,809525,0,9.29,0,8715494,214.243,"Europe",NA,3.53,9.29,7.04770676860947,1149.218,2.33117254984596,1
"67","2021-10","CHE",2021-10-31,"Switzerland",872558,11234,100115.725,1288.969,11288786,1295.255,11096393,0,127.32,0,8715494,214.243,"Europe",NA,120.12,127.32,7.16237346605922,1288.969,4.8545271441182,2
"68","2021-02","CHL",2021-02-28,"Chile",824625,20572,42921.584,1070.769,9358875,487.128,3372901,0,17.56,0,19212362,24.282,"South America",NA,0.35,17.56,6.97706583333588,1070.769,2.92100872735805,1
"69","2021-10","CHL",2021-10-31,"Chile",1695048,37757,88226.945,1965.245,23333898,1214.525,36935827,5882390,192.25,30.62,19212362,24.282,"South America",NA,168.75,192.25,7.58388091145762,1965.245,5.26398468746753,2
"70","2021-02","CHN",2021-02-28,"China",89960,4636,62.29,3.21,0,0,52520000,0,3.64,0,1444216102,147.674,"Asia",57330,1.66,3.64,1.43746264769429,3.21,1.53471436623816,1
"71","2021-11","CHN",2021-11-27,"China",98708,4636,68.347,3.21,0,0,2482895000,0,171.92,0,1444216102,147.674,"Asia",99054,157.46,171.92,1.43746264769429,3.21,5.15282905979943,2
"72","2021-02","CIV",2021-02-28,"Cote d'Ivoire",32754,192,1210.706,7.097,423731,15.663,0,0,0,0,27053629,76.399,"Africa",1196,0,0,2.09149362270398,7.097,0,1
"73","2021-10","CIV",2021-10-31,"Cote d'Ivoire",61297,695,2265.759,25.69,1090833,40.321,3232947,0,11.95,0,27053629,76.399,"Africa",4433,7.9,11.95,3.28428896341643,25.69,2.56109578814555,2
"74","2021-02","CMR",2021-02-28,"Cameroon",35714,551,1311.845,20.239,0,0,0,0,0,0,27224262,50.885,"Africa",4115,0,0,3.05583911428611,20.239,0,1
"75","2021-05","CMR",2021-05-31,"Cameroon",78929,1275,2899.215,46.833,0,0,75215,0,0.28,0,27224262,50.885,"Africa",7218,0,0.28,3.86771577786617,46.833,0.246860077931526,2
"76","2021-02","COD",2021-02-28,"Democratic Republic of Congo",25913,707,280.511,7.653,0,0,0,0,0,0,92377986,35.879,"Africa",3635,0,0,2.1579060816246,7.653,0,1
"77","2021-09","COD",2021-09-30,"Democratic Republic of Congo",56937,1084,616.348,11.734,0,0,136094,0,0.15,0,92377986,35.879,"Africa",10031,0.11,0.15,2.54427558159483,11.734,0.139761942375159,2
"78","2021-02","COG",2021-02-28,"Congo",8820,128,1559.126,22.627,0,0,0,0,0,0,5657017,15.405,"Africa",NA,0,0,3.16239012588134,22.627,0,1
"79","2021-09","COG",2021-09-30,"Congo",14244,193,2517.935,34.117,0,0,346613,0,6.13,0,5657017,15.405,"Africa",NA,NA,6.13,3.558685343706,34.117,1.9643112344262,2
"80","2021-11","COK",2021-11-08,"Cook Islands",0,0,0,0,0,0,24326,0,138.44,0,17572,NA,"Oceania",NA,NA,138.44,0,0,4.93763440121177,1
"81","2021-02","COL",2021-02-28,"Colombia",2251690,59766,43921.839,1165.806,11422582,222.811,130578,0,0.25,0,51265841,44.223,"South America",285389,0,0.25,7.0620253802498,1165.806,0.22314355131421,1
