"","year","id","go","m","l","k","sic3dig","countyear","va"
"722",81,65565,20941.90625,12177.755859375,27,2312.82666015625,322,8,8764.150390625
"723",86,65565,21526.109375,11930.255859375,21,2638.2197265625,322,8,9595.853515625
"724",80,65565,15598.9736328125,11943,23,2456.18090820312,322,8,3655.9736328125
"725",85,65565,17913.638671875,12558.9697265625,24,2878.65991210938,322,8,5354.6689453125
"726",84,65565,14794.853515625,9535.5126953125,24,3144.83129882812,322,8,5259.3408203125
"727",79,65565,16805.390625,12646.013671875,24,2698.93481445312,322,8,4159.376953125
"728",83,65565,13526.91796875,8997.20703125,20,2232.93286132812,322,8,4529.7109375
"729",82,65718,17869.77734375,13775.72265625,33,1891.72387695312,322,8,4094.0546875
"730",85,65718,31856.94140625,19838.95703125,42,1365.3896484375,322,8,12017.984375
"731",79,65718,12720.8515625,10030.7177734375,20,2631.60083007812,322,8,2690.1337890625
"732",86,65718,42539.4296875,27389.572265625,40,1225.62365722656,322,8,15149.857421875
"733",81,65718,23889.80078125,19022.548828125,24,2110.66943359375,322,8,4867.251953125
"734",83,65718,26949.900390625,16225.869140625,42,1696.24865722656,322,8,10724.03125
"735",84,65718,28384.38671875,17251.134765625,32,1521.58154296875,322,8,11133.251953125
"736",80,65718,16873,14778,24,2356.13061523438,322,8,2095
"737",79,67608,434042.78125,70438.765625,106,136054.640625,351,8,363604
"738",82,67608,543451.4375,359013.40625,103,124372.1796875,351,8,184438.03125
"739",83,67608,618504.1875,129769.3515625,98,121414.453125,351,8,488734.84375
"740",85,67608,1228732.625,713797.0625,107,116530.515625,351,8,514935.5625
"741",81,67608,614068.25,377822.59375,121,127749.1015625,351,8,236245.65625
"742",86,67608,1414610.75,919727.0625,141,114512.9296875,351,8,494883.6875
"743",80,67608,417377,376818,110,131615.3125,351,8,40559
"744",84,67608,674333,574264.25,104,118817.0703125,351,8,100068.75
"745",83,68274,18331.412109375,12495.00390625,27,3443.673828125,311,8,5836.408203125
"746",82,68274,17109.451171875,13127.4755859375,25,3816.08740234375,311,8,3981.9755859375
"747",81,68274,14234.041015625,8109.89404296875,20,2895.91357421875,311,8,6124.14697265625
"748",80,68274,10973,9081,20,3209.74536132812,311,8,1892
"749",79,68274,12096.7666015625,8906.7548828125,16,2893.65991210938,311,8,3190.01171875
"750",86,68274,9892.740234375,7401.701171875,23,2537.57885742188,311,8,2491.0390625
"751",85,68274,13675.3046875,10720.2880859375,27,2808.20043945312,311,8,2955.0166015625
