"","year","sic4dig","id","go","m","l","k","sic3dig","sic2dig","minyear","maxyear","countyear","va","lnvaOl","lnk"
"1572",83,3117,11889,11002.212890625,7150.0634765625,20,1540.80993652344,311,31,79,86,8,3852.1494140625,5.26065444946289,7.34006357192993
"1573",82,3117,11889,15295.05859375,10657.39453125,23,1676.21374511719,311,31,79,86,8,4637.6640625,5.306471824646,7.42429304122925
"1574",84,3117,11889,11432.4462890625,7666.41845703125,20,1745.15173339844,311,31,79,86,8,3766.02783203125,5.23804378509521,7.46459674835205
"1575",85,3117,11889,11103.970703125,7889.9462890625,19,1636.21411132812,311,31,79,86,8,3214.0244140625,5.13084030151367,7.40014028549194
"1576",79,3117,11889,11426.2919921875,7805.8447265625,21,1052.36499023438,311,31,79,86,8,3620.447265625,5.14983034133911,6.95879507064819
"1577",79,3220,11898,22202.755859375,9670.640625,37,3314.11010742188,322,32,79,86,8,12532.115234375,5.82513189315796,8.10594463348389
"1578",86,3220,11898,20046.3125,6653.31884765625,43,1775.52526855469,322,32,79,86,8,13392.994140625,5.74128675460815,7.48185157775879
"1579",85,3220,11898,27468.40625,5375.21484375,36,1933.32995605469,322,32,79,86,8,22093.19140625,6.41950559616089,7.56699895858765
"1580",84,3220,11898,16720.10546875,7283.142578125,38,2108.0205078125,322,32,79,86,8,9436.962890625,5.51480340957642,7.65350484848022
"1581",83,3220,11898,16072.15234375,5345.9326171875,39,2301.57836914062,322,32,79,86,8,10726.2197265625,5.61688470840454,7.74135065078735
"1582",81,3220,11898,24080.9609375,12307.7197265625,37,2754.56298828125,322,32,79,86,8,11773.2412109375,5.76266670227051,7.92101430892944
"1583",80,3220,11898,26592.142578125,11527,37,3019.42065429688,322,32,79,86,8,15065.142578125,6.00922107696533,8.01282024383545
"1584",82,3220,11898,15240.3583984375,5753.296875,38,2516.24536132812,322,32,79,86,8,9487.0615234375,5.5200982093811,7.8305230140686
"1585",81,3111,11952,63539.55078125,53940.2265625,33,21298.56640625,311,31,79,86,8,9599.32421875,5.67294025421143,9.96639537811279
"1586",83,3111,11952,118598.875,81153.609375,35,27140.185546875,311,31,79,86,8,37445.265625,6.97528743743896,10.2087707519531
"1587",85,3111,11952,182496.265625,145715.421875,65,41380.1640625,311,31,79,86,8,36780.84375,6.33834505081177,10.6305570602417
"1588",86,3111,11952,163761.984375,136683.484375,70,49852.2265625,311,31,79,86,8,27078.5,5.95800018310547,10.8168182373047
"1589",79,3111,11952,40976.484375,37268.3046875,24,10668.1484375,311,31,79,86,8,3708.1796875,5.04024267196655,9.27501773834229
"1590",80,3111,11952,64757.40234375,54870,29,14595.8896484375,311,31,79,86,8,9887.40234375,5.83172082901001,9.5884952545166
"1591",82,3111,11952,67919.53125,60763.796875,31,22375.724609375,311,31,79,86,8,7155.734375,5.4416823387146,10.0157318115234
"1592",84,3111,11952,168848.296875,111395.9296875,51,35256.19140625,311,31,79,86,8,57452.3671875,7.02688598632812,10.4703960418701
"1593",86,3117,11961,5848.822265625,4085.32373046875,13,703.779479980469,311,31,79,86,8,1763.49853515625,4.91010570526123,6.55646514892578
"1594",81,3117,11961,8596.8115234375,4465.83056640625,15,1044.69616699219,311,31,79,86,8,4130.98095703125,5.61821985244751,6.95148134231567
"1595",79,3117,11961,11810.572265625,7830.04052734375,14,475.494323730469,311,31,79,86,8,3980.53173828125,5.65011358261108,6.16435480117798
"1596",80,3117,11961,12988,5972,12,1135.861328125,311,31,79,86,8,7016,6.37104177474976,7.03514671325684
"1597",82,3117,11961,5785.41162109375,3819.73217773438,14,926.485717773438,311,31,79,86,8,1965.67944335938,4.94453573226929,6.83139848709106
"1598",83,3117,11961,7075.103515625,5369.72119140625,13,811.167846679688,311,31,79,86,8,1705.38232421875,4.87659502029419,6.6984748840332
"1599",84,3117,11961,6117.04248046875,4097.837890625,14,774.134582519531,311,31,79,86,8,2019.20458984375,4.97140169143677,6.65174579620361
"1600",85,3117,11961,6923.33935546875,5407.70263671875,13,794.911804199219,311,31,79,86,8,1515.63671875,4.75864171981812,6.67823123931885
"1601",84,3117,12222,13115.3544921875,9110.97265625,21,3755.83325195312,311,31,79,86,8,4004.3818359375,5.25062227249146,8.23106575012207
"1602",86,3117,12222,12196.9765625,8510.93359375,22,3081.39697265625,311,31,79,86,8,3686.04296875,5.12126636505127,8.03313827514648
"1603",83,3117,12222,11493.8388671875,6915.9453125,19,4186.46044921875,311,31,79,86,8,4577.8935546875,5.4845552444458,8.3396110534668
"1604",80,3117,12222,18081.025390625,14560,25,5455.9404296875,311,31,79,86,8,3521.025390625,4.9476318359375,8.60446071624756
"1605",85,3117,12222,12174.5830078125,9609.2529296875,21,3423.39379882812,311,31,79,86,8,2565.330078125,4.80531978607178,8.13838768005371
"1606",79,3117,12222,12115.5771484375,8983.375,27,5469.2802734375,311,31,79,86,8,3132.2021484375,4.75365495681763,8.60690212249756
"1607",82,3117,12222,14046.2958984375,8343.2998046875,19,4674.95556640625,311,31,79,86,8,5702.99609375,5.7043080329895,8.44997501373291
"1608",81,3117,12222,16643.71875,11789.5615234375,25,5230.60595703125,311,31,79,86,8,4854.1572265625,5.26871490478516,8.56228256225586
"1609",85,3419,12276,103971.6015625,55350.77734375,49,43908.484375,341,34,79,86,8,48620.82421875,6.899986743927,10.6898632049561
"1610",79,3419,12276,100310.2578125,15202.5595703125,97,46767.01171875,341,34,79,86,8,85107.6953125,6.77696180343628,10.7529335021973
"1611",82,3419,12276,128896.703125,30446.685546875,47,68129.140625,341,34,79,86,8,98450.015625,7.64715671539307,11.1291599273682
